dataset,rows,columns,missing_cells,missing_percentage,title_missing_%,director_missing_%,cast_missing_%,country_missing_%,date_added_missing_%,release_year_missing_%,rating_missing_%,duration_missing_%,listed_in_missing_%,description_missing_%
Before Cleaning,8807,12,4307,4.075356723818175,0.0,29.908027705234474,9.367548540933349,9.435676166685592,0.11354604292040424,0.0,0.04541841716816169,0.034063812876121265,0.0,0.0
After Cleaning,8807,17,13147,8.781116625144438,0.0,29.908027705234474,9.367548540933349,9.435676166685592,0.11354604292040424,0.0,0.04541841716816169,0.034063812876121265,0.0,0.0
Improvement,0,5,8840,4.705759901326263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
